column,row,field,channel,rel_fp
E,3,7,1,MFGTMP_220411120001/MFGTMP_220411120001_E03f07d1.TIF
E,4,2,0,MFGTMP_220411120001/MFGTMP_220411120001_E04f02d0.TIF
B,4,7,3,MFGTMP_220411120001/MFGTMP_220411120001_B04f07d3.TIF
B,5,7,3,MFGTMP_220411120001/MFGTMP_220411120001_B05f07d3.TIF
E,5,2,0,MFGTMP_220411120001/MFGTMP_220411120001_E05f02d0.TIF
F,6,7,4,MFGTMP_220411120001/MFGTMP_220411120001_F06f07d4.TIF
F,11,1,4,MFGTMP_220411120001/MFGTMP_220411120001_F11f01d4.TIF
E,5,2,1,MFGTMP_220411120001/MFGTMP_220411120001_E05f02d1.TIF
B,5,7,2,MFGTMP_220411120001/MFGTMP_220411120001_B05f07d2.TIF
B,11,8,4,MFGTMP_220411120001/MFGTMP_220411120001_B11f08d4.TIF
F,7,7,4,MFGTMP_220411120001/MFGTMP_220411120001_F07f07d4.TIF
F,10,1,4,MFGTMP_220411120001/MFGTMP_220411120001_F10f01d4.TIF
B,10,8,4,MFGTMP_220411120001/MFGTMP_220411120001_B10f08d4.TIF
B,4,7,2,MFGTMP_220411120001/MFGTMP_220411120001_B04f07d2.TIF
E,4,2,1,MFGTMP_220411120001/MFGTMP_220411120001_E04f02d1.TIF
E,3,7,0,MFGTMP_220411120001/MFGTMP_220411120001_E03f07d0.TIF
B,3,2,3,MFGTMP_220411120001/MFGTMP_220411120001_B03f02d3.TIF
B,2,2,3,MFGTMP_220411120001/MFGTMP_220411120001_B02f02d3.TIF
E,2,7,0,MFGTMP_220411120001/MFGTMP_220411120001_E02f07d0.TIF
G,4,3,3,MFGTMP_220411120001/MFGTMP_220411120001_G04f03d3.TIF
G,5,3,3,MFGTMP_220411120001/MFGTMP_220411120001_G05f03d3.TIF
G,2,6,2,MFGTMP_220411120001/MFGTMP_220411120001_G02f06d2.TIF
G,3,6,2,MFGTMP_220411120001/MFGTMP_220411120001_G03f06d2.TIF
B,5,5,0,MFGTMP_220411120001/MFGTMP_220411120001_B05f05d0.TIF
E,5,0,3,MFGTMP_220411120001/MFGTMP_220411120001_E05f00d3.TIF
E,4,0,3,MFGTMP_220411120001/MFGTMP_220411120001_E04f00d3.TIF
B,4,5,0,MFGTMP_220411120001/MFGTMP_220411120001_B04f05d0.TIF
B,3,0,1,MFGTMP_220411120001/MFGTMP_220411120001_B03f00d1.TIF
E,3,5,2,MFGTMP_220411120001/MFGTMP_220411120001_E03f05d2.TIF
E,2,5,2,MFGTMP_220411120001/MFGTMP_220411120001_E02f05d2.TIF
B,2,0,1,MFGTMP_220411120001/MFGTMP_220411120001_B02f00d1.TIF
D,7,4,4,MFGTMP_220411120001/MFGTMP_220411120001_D07f04d4.TIF
D,10,2,4,MFGTMP_220411120001/MFGTMP_220411120001_D10f02d4.TIF
C,4,8,1,MFGTMP_220411120001/MFGTMP_220411120001_C04f08d1.TIF
G,4,1,1,MFGTMP_220411120001/MFGTMP_220411120001_G04f01d1.TIF
C,5,8,1,MFGTMP_220411120001/MFGTMP_220411120001_C05f08d1.TIF
D,6,4,4,MFGTMP_220411120001/MFGTMP_220411120001_D06f04d4.TIF
D,11,2,4,MFGTMP_220411120001/MFGTMP_220411120001_D11f02d4.TIF
G,5,1,1,MFGTMP_220411120001/MFGTMP_220411120001_G05f01d1.TIF
G,2,4,0,MFGTMP_220411120001/MFGTMP_220411120001_G02f04d0.TIF
B,9,6,4,MFGTMP_220411120001/MFGTMP_220411120001_B09f06d4.TIF
D,2,8,3,MFGTMP_220411120001/MFGTMP_220411120001_D02f08d3.TIF
B,8,6,4,MFGTMP_220411120001/MFGTMP_220411120001_B08f06d4.TIF
G,3,4,0,MFGTMP_220411120001/MFGTMP_220411120001_G03f04d0.TIF
D,3,8,3,MFGTMP_220411120001/MFGTMP_220411120001_D03f08d3.TIF
F,10,5,0,MFGTMP_220411120001/MFGTMP_220411120001_F10f05d0.TIF
F,7,3,0,MFGTMP_220411120001/MFGTMP_220411120001_F07f03d0.TIF
F,11,5,0,MFGTMP_220411120001/MFGTMP_220411120001_F11f05d0.TIF
F,6,3,0,MFGTMP_220411120001/MFGTMP_220411120001_F06f03d0.TIF
D,9,8,0,MFGTMP_220411120001/MFGTMP_220411120001_D09f08d0.TIF
E,2,3,4,MFGTMP_220411120001/MFGTMP_220411120001_E02f03d4.TIF
G,9,4,3,MFGTMP_220411120001/MFGTMP_220411120001_G09f04d3.TIF
D,8,8,0,MFGTMP_220411120001/MFGTMP_220411120001_D08f08d0.TIF
E,3,3,4,MFGTMP_220411120001/MFGTMP_220411120001_E03f03d4.TIF
G,8,4,3,MFGTMP_220411120001/MFGTMP_220411120001_G08f04d3.TIF
D,6,2,2,MFGTMP_220411120001/MFGTMP_220411120001_D06f02d2.TIF
C,6,7,1,MFGTMP_220411120001/MFGTMP_220411120001_C06f07d1.TIF
C,11,1,1,MFGTMP_220411120001/MFGTMP_220411120001_C11f01d1.TIF
D,11,4,2,MFGTMP_220411120001/MFGTMP_220411120001_D11f04d2.TIF
G,11,8,1,MFGTMP_220411120001/MFGTMP_220411120001_G11f08d1.TIF
C,7,7,1,MFGTMP_220411120001/MFGTMP_220411120001_C07f07d1.TIF
D,7,2,2,MFGTMP_220411120001/MFGTMP_220411120001_D07f02d2.TIF
D,10,4,2,MFGTMP_220411120001/MFGTMP_220411120001_D10f04d2.TIF
C,10,1,1,MFGTMP_220411120001/MFGTMP_220411120001_C10f01d1.TIF
G,10,8,1,MFGTMP_220411120001/MFGTMP_220411120001_G10f08d1.TIF
B,8,0,2,MFGTMP_220411120001/MFGTMP_220411120001_B08f00d2.TIF
E,8,5,1,MFGTMP_220411120001/MFGTMP_220411120001_E08f05d1.TIF
E,9,5,1,MFGTMP_220411120001/MFGTMP_220411120001_E09f05d1.TIF
B,9,0,2,MFGTMP_220411120001/MFGTMP_220411120001_B09f00d2.TIF
F,7,1,2,MFGTMP_220411120001/MFGTMP_220411120001_F07f01d2.TIF
F,10,7,2,MFGTMP_220411120001/MFGTMP_220411120001_F10f07d2.TIF
F,4,8,4,MFGTMP_220411120001/MFGTMP_220411120001_F04f08d4.TIF
